Sequence,Mode,Temperature,Pressure,Latitude,Longitude,SNR,PER,AuthFail,Policy,PerRadio,PerAuth,Battery,SelectedMode,Cost,Energy_per_packet_J
0,2,25.33,1013.71,22.719591,75.857731,10,0.012,0.0009,BestEffort,0.011,0.0009,1,GCM,0.39,0.01663360324
1,2,25.78,1011.69,22.719683,75.857738,10,0.012,0.0008,BestEffort,0.011,0.0008,0.9988,GCM,0.3902,0.01663360324
2,2,25.96,1014.38,22.719545,75.857687,10,0.012,0.0009,BestEffort,0.011,0.0009,0.9975,GCM,0.3906,0.01663360324
3,2,25.65,1014.66,22.719629,75.857576,10,0.012,0.0007,BestEffort,0.011,0.0007,0.9963,GCM,0.3907,0.01663360324
4,2,25.5,1010.32,22.719616,75.85765,10,0.012,0.001,BestEffort,0.011,0.001,0.9951,GCM,0.3912,0.01663360324
5,2,25.83,1011.3,22.719557,75.857762,9,0.012,0.0008,BestEffort,0.011,0.0008,0.9938,GCM,0.3914,0.01663360324
6,2,25.84,1013.44,22.719609,75.857561,10,0.012,0.0006,BestEffort,0.01,0.0006,0.9926,GCM,0.3906,0.01663360324
7,2,26.21,1012.78,22.719661,75.857683,9,0.02,0.0009,BestEffort,0.021,0.0009,0.9914,GCM,0.4005,0.01676938776
8,2,25.75,1013.22,22.719584,75.857641,9,0.02,0.0007,BestEffort,0.02,0.0007,0.9902,GCM,0.3997,0.01676938776
9,2,25.45,1011.97,22.719515,75.85774,7,0.02,0.0006,BestEffort,0.02,0.0006,0.9889,GCM,0.4,0.01676938776
10,2,25.62,1014.57,22.719599,75.857666,9,0.02,0.0006,BestEffort,0.02,0.0006,0.9877,GCM,0.4002,0.01676938776
11,2,25.31,1014.42,22.719555,75.85772,8,0.02,0.0008,BestEffort,0.02,0.0008,0.9865,GCM,0.4007,0.01676938776
12,2,26.11,1013.35,22.719583,75.857728,2,0.02,0.035,BestEffort,0.02,0.035,0.9852,GCM,0.4304,0.01676938776
13,2,25.4,1014.94,22.719596,75.857792,5,0.02,0.0105,BestEffort,0.019,0.0105,0.984,GCM,0.4087,0.01676938776
14,2,26.12,1013.95,22.719515,75.85769,6,0.02,0.0006,BestEffort,0.019,0.0006,0.9828,GCM,0.4006,0.01676938776
15,2,25.93,1011.96,22.719519,75.857719,-3,0.02,0.0988,BestEffort,0.019,0.0988,0.9815,GCM,0.4872,0.01676938776
16,2,25.88,1013.8,22.719624,75.857626,7,0.02,0.0007,BestEffort,0.019,0.0007,0.9803,GCM,0.4012,0.01676938776
17,2,25.7,1011.81,22.719574,75.85776,5,0.02,0.0095,BestEffort,0.019,0.0095,0.9791,GCM,0.409,0.01676938776
18,2,25.57,1014.57,22.719472,75.857662,0,0.02,0.0494,BestEffort,0.019,0.0494,0.9778,GCM,0.4438,0.01676938776
19,2,26.02,1013.18,22.719639,75.857672,4,0.02,0.0182,BestEffort,0.018,0.0182,0.9766,GCM,0.4162,0.01676938776
20,0,26.22,1012.97,22.719614,75.857699,-4,0.02,0.1265,BestEffort,0.018,0.1265,0.9754,CTR,0.3392,0.01676938776
21,0,26.12,1012.23,22.719564,75.857622,0,0.02,0.0473,BestEffort,0.018,0.0473,0.9742,CTR,0.3395,0.01676938776
22,0,25.4,1015.08,22.719534,75.857711,2,0.02,0.0355,BestEffort,0.018,0.0355,0.9729,CTR,0.3397,0.01676938776
23,0,26.22,1013.02,22.719642,75.857748,2,0.02,0.0302,BestEffort,0.018,0.0302,0.9717,CTR,0.34,0.01676938776
24,0,26.11,1012.61,22.719617,75.857715,7,0.016,0.0005,BestEffort,0.018,0.0005,0.9705,CTR,0.3402,0.01670121951
