Sequence,Mode,Temperature,Pressure,Latitude,Longitude,SNR,PER,AuthFail,Policy,PerRadio,PerAuth,Battery,SelectedMode,Cost
0,0,25.33,0.0,0.0,0.0,10,0.012,0.0,BestEffort,0.011,0.0,1.0,CTR,0.3288
1,0,25.78,0.0,0.0,0.0,10,0.012,0.0,BestEffort,0.011,0.0,1.0,CTR,0.3287
2,0,25.96,0.0,0.0,0.0,10,0.012,0.0,BestEffort,0.011,0.0,1.0,CTR,0.3286
3,0,25.65,0.0,0.0,0.0,10,0.012,0.0,BestEffort,0.011,0.0,1.0,CTR,0.3285
4,0,25.5,0.0,0.0,0.0,10,0.012,0.0,BestEffort,0.011,0.0,1.0,CTR,0.3284
5,0,25.83,0.0,0.0,0.0,9,0.012,0.0,BestEffort,0.011,0.0,1.0,CTR,0.3283
6,0,25.84,0.0,0.0,0.0,10,0.012,0.0,BestEffort,0.01,0.0,1.0,CTR,0.3283
7,0,26.21,0.0,0.0,0.0,9,0.02,0.0,BestEffort,0.021,0.0,1.0,CTR,0.3364
8,0,25.75,0.0,0.0,0.0,9,0.02,0.0,BestEffort,0.02,0.0,1.0,CTR,0.3362
9,0,25.45,0.0,0.0,0.0,7,0.02,0.0,BestEffort,0.02,0.0,1.0,CTR,0.3361
10,0,25.62,0.0,0.0,0.0,9,0.02,0.0,BestEffort,0.02,0.0,1.0,CTR,0.3359
11,0,25.31,0.0,0.0,0.0,8,0.02,0.0,BestEffort,0.02,0.0,1.0,CTR,0.3357
12,0,26.11,0.0,0.0,0.0,2,0.02,0.0,BestEffort,0.02,0.0,1.0,CTR,0.3356
13,0,25.4,0.0,0.0,0.0,5,0.02,0.0,BestEffort,0.019,0.0,1.0,CTR,0.3354
14,0,26.12,0.0,0.0,0.0,6,0.02,0.0,BestEffort,0.019,0.0,1.0,CTR,0.3353
15,0,25.93,0.0,0.0,0.0,-3,0.02,0.0,BestEffort,0.019,0.0,1.0,CTR,0.3351
16,0,25.88,0.0,0.0,0.0,7,0.02,0.0,BestEffort,0.019,0.0,1.0,CTR,0.335
17,0,25.7,0.0,0.0,0.0,5,0.02,0.0,BestEffort,0.019,0.0,1.0,CTR,0.3349
18,0,25.57,0.0,0.0,0.0,0,0.02,0.0,BestEffort,0.019,0.0,1.0,CTR,0.3347
19,0,26.02,0.0,0.0,0.0,4,0.02,0.0,BestEffort,0.018,0.0,1.0,CTR,0.3346
20,0,26.22,0.0,0.0,0.0,-4,0.02,0.0,BestEffort,0.018,0.0,1.0,CTR,0.3344
21,0,26.12,0.0,0.0,0.0,0,0.02,0.0,BestEffort,0.018,0.0,1.0,CTR,0.3343
22,0,25.4,0.0,0.0,0.0,2,0.02,0.0,BestEffort,0.018,0.0,1.0,CTR,0.3342
23,0,26.22,0.0,0.0,0.0,2,0.02,0.0,BestEffort,0.018,0.0,1.0,CTR,0.3341
24,0,26.11,0.0,0.0,0.0,7,0.016,0.0,BestEffort,0.018,0.0,1.0,CTR,0.3339
25,0,25.38,0.0,0.0,0.0,5,0.016,0.0,BestEffort,0.017,0.0,1.0,CTR,0.3338
26,0,25.87,0.0,0.0,0.0,9,0.016,0.0,BestEffort,0.017,0.0,1.0,CTR,0.3337
27,0,25.58,0.0,0.0,0.0,2,0.027,0.0,BestEffort,0.026,0.0,1.0,CTR,0.3404
28,0,25.72,0.0,0.0,0.0,7,0.023,0.0,BestEffort,0.025,0.0,1.0,CTR,0.3402
29,0,26.09,0.0,0.0,0.0,7,0.023,0.0,BestEffort,0.025,0.0,1.0,CTR,0.3401
30,0,25.66,0.0,0.0,0.0,-3,0.023,0.0,BestEffort,0.025,0.0,1.0,CTR,0.3399
31,0,25.5,0.0,0.0,0.0,3,0.023,0.0,BestEffort,0.025,0.0,1.0,CTR,0.3397
32,0,26.2,0.0,0.0,0.0,4,0.023,0.0,BestEffort,0.025,0.0,1.0,CTR,0.3396
33,0,25.56,0.0,0.0,0.0,-7,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.346
34,0,25.39,0.0,0.0,0.0,1,0.047,0.0,BestEffort,0.048,0.0,1.0,CTR,0.3588
35,0,26.27,0.0,0.0,0.0,2,0.047,0.0,BestEffort,0.048,0.0,1.0,CTR,0.3585
36,0,25.92,0.0,0.0,0.0,0,0.047,0.0,BestEffort,0.048,0.0,1.0,CTR,0.3582
37,0,26.24,0.0,0.0,0.0,0,0.047,0.0,BestEffort,0.047,0.0,1.0,CTR,0.3579
38,0,26.06,0.0,0.0,0.0,4,0.047,0.0,BestEffort,0.047,0.0,1.0,CTR,0.3576
39,0,25.93,0.0,0.0,0.0,5,0.047,0.0,BestEffort,0.047,0.0,1.0,CTR,0.3573
40,0,25.34,0.0,0.0,0.0,-2,0.047,0.0,BestEffort,0.046,0.0,1.0,CTR,0.357
41,0,25.88,0.0,0.0,0.0,6,0.047,0.0,BestEffort,0.046,0.0,1.0,CTR,0.3567
42,0,25.3,0.0,0.0,0.0,8,0.047,0.0,BestEffort,0.045,0.0,1.0,CTR,0.3564
43,0,26.27,0.0,0.0,0.0,7,0.047,0.0,BestEffort,0.045,0.0,1.0,CTR,0.3562
44,0,26.27,0.0,0.0,0.0,8,0.043,0.0,BestEffort,0.045,0.0,1.0,CTR,0.3559
45,0,26.09,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.044,0.0,1.0,CTR,0.3556
46,0,26.23,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.044,0.0,1.0,CTR,0.3553
47,0,26.29,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.044,0.0,1.0,CTR,0.3551
48,0,26.18,0.0,0.0,0.0,8,0.043,0.0,BestEffort,0.043,0.0,1.0,CTR,0.3548
49,0,25.49,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.043,0.0,1.0,CTR,0.3546
50,0,26.03,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.043,0.0,1.0,CTR,0.3543
51,0,25.93,0.0,0.0,0.0,11,0.043,0.0,BestEffort,0.043,0.0,1.0,CTR,0.3541
52,0,25.85,0.0,0.0,0.0,10,0.043,0.0,BestEffort,0.042,0.0,1.0,CTR,0.3538
53,0,25.6,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.042,0.0,1.0,CTR,0.3536
54,0,26.05,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.042,0.0,1.0,CTR,0.3534
55,0,25.94,0.0,0.0,0.0,8,0.043,0.0,BestEffort,0.041,0.0,1.0,CTR,0.3531
56,0,25.94,0.0,0.0,0.0,9,0.039,0.0,BestEffort,0.041,0.0,1.0,CTR,0.3529
57,0,26.29,0.0,0.0,0.0,9,0.039,0.0,BestEffort,0.041,0.0,1.0,CTR,0.3527
58,0,26.09,0.0,0.0,0.0,9,0.047,0.0,BestEffort,0.047,0.0,1.0,CTR,0.3579
59,0,25.93,0.0,0.0,0.0,10,0.047,0.0,BestEffort,0.047,0.0,1.0,CTR,0.3577
60,0,25.61,0.0,0.0,0.0,9,0.047,0.0,BestEffort,0.047,0.0,1.0,CTR,0.3574
61,0,26.05,0.0,0.0,0.0,9,0.047,0.0,BestEffort,0.046,0.0,1.0,CTR,0.3572
62,0,25.82,0.0,0.0,0.0,10,0.047,0.0,BestEffort,0.046,0.0,1.0,CTR,0.3569
63,0,25.49,0.0,0.0,0.0,10,0.047,0.0,BestEffort,0.046,0.0,1.0,CTR,0.3567
64,0,26.13,0.0,0.0,0.0,9,0.047,0.0,BestEffort,0.045,0.0,1.0,CTR,0.3564
65,0,25.33,0.0,0.0,0.0,9,0.047,0.0,BestEffort,0.045,0.0,1.0,CTR,0.3562
66,0,25.43,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.045,0.0,1.0,CTR,0.356
67,0,26.21,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.045,0.0,1.0,CTR,0.3557
68,0,26.1,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.044,0.0,1.0,CTR,0.3555
69,0,25.87,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.044,0.0,1.0,CTR,0.3553
70,0,25.52,0.0,0.0,0.0,10,0.043,0.0,BestEffort,0.044,0.0,1.0,CTR,0.355
71,0,25.73,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.043,0.0,1.0,CTR,0.3548
72,0,26.13,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.043,0.0,1.0,CTR,0.3546
73,0,25.82,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.043,0.0,1.0,CTR,0.3544
74,0,25.66,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.043,0.0,1.0,CTR,0.3542
75,0,25.91,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.042,0.0,1.0,CTR,0.354
76,0,26.16,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.042,0.0,1.0,CTR,0.3538
77,0,25.41,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.042,0.0,1.0,CTR,0.3536
78,0,26.18,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.042,0.0,1.0,CTR,0.3534
79,0,25.42,0.0,0.0,0.0,9,0.043,0.0,BestEffort,0.041,0.0,1.0,CTR,0.3532
80,0,25.58,0.0,0.0,0.0,10,0.043,0.0,BestEffort,0.041,0.0,1.0,CTR,0.353
81,0,25.83,0.0,0.0,0.0,9,0.039,0.0,BestEffort,0.041,0.0,1.0,CTR,0.3528
82,0,26.1,0.0,0.0,0.0,10,0.039,0.0,BestEffort,0.041,0.0,1.0,CTR,0.3526
83,0,26.01,0.0,0.0,0.0,9,0.039,0.0,BestEffort,0.04,0.0,1.0,CTR,0.3524
84,0,25.94,0.0,0.0,0.0,9,0.039,0.0,BestEffort,0.04,0.0,1.0,CTR,0.3522
85,0,25.94,0.0,0.0,0.0,10,0.039,0.0,BestEffort,0.04,0.0,1.0,CTR,0.352
86,0,25.75,0.0,0.0,0.0,9,0.039,0.0,BestEffort,0.04,0.0,1.0,CTR,0.3518
87,0,25.96,0.0,0.0,0.0,9,0.039,0.0,BestEffort,0.04,0.0,1.0,CTR,0.3516
88,0,26.07,0.0,0.0,0.0,9,0.039,0.0,BestEffort,0.039,0.0,1.0,CTR,0.3515
89,0,25.88,0.0,0.0,0.0,10,0.039,0.0,BestEffort,0.039,0.0,1.0,CTR,0.3513
90,0,26.11,0.0,0.0,0.0,9,0.039,0.0,BestEffort,0.039,0.0,1.0,CTR,0.3511
91,0,25.47,0.0,0.0,0.0,9,0.039,0.0,BestEffort,0.039,0.0,1.0,CTR,0.3509
92,0,25.66,0.0,0.0,0.0,9,0.039,0.0,BestEffort,0.038,0.0,1.0,CTR,0.3508
93,0,25.77,0.0,0.0,0.0,10,0.039,0.0,BestEffort,0.038,0.0,1.0,CTR,0.3506
94,0,25.51,0.0,0.0,0.0,9,0.039,0.0,BestEffort,0.038,0.0,1.0,CTR,0.3504
95,0,25.63,0.0,0.0,0.0,9,0.039,0.0,BestEffort,0.038,0.0,1.0,CTR,0.3502
96,0,26.05,0.0,0.0,0.0,10,0.039,0.0,BestEffort,0.038,0.0,1.0,CTR,0.3501
97,0,25.98,0.0,0.0,0.0,9,0.039,0.0,BestEffort,0.037,0.0,1.0,CTR,0.3499
98,0,25.37,0.0,0.0,0.0,10,0.035,0.0,BestEffort,0.037,0.0,1.0,CTR,0.3498
