timestamp_ms,seq,mode,snr,per_radio,per_auth,battery,latency_ms,ack_received,retries,auth_success,mode_switch,cost
12418,12,GCM,6.75,0.0000,0.0000,1.000,418,1,0,1,0,0.380
13418,13,GCM,6.83,0.0000,0.0000,1.000,418,1,0,1,0,0.380
14418,14,GCM,6.88,0.0000,0.0000,1.000,418,1,0,1,0,0.380
15418,15,GCM,6.91,0.0000,0.0000,1.000,418,1,0,1,0,0.380
16418,16,GCM,6.64,0.0000,0.0000,1.000,418,1,0,1,0,0.380
17418,17,GCM,7.05,0.0000,0.0000,1.000,418,1,0,1,0,0.380
18418,18,GCM,7.33,0.0000,0.0000,1.000,418,1,0,1,0,0.380
19418,19,GCM,7.53,0.0000,0.0000,1.000,418,1,0,1,0,0.380
20418,20,GCM,7.67,0.0000,0.0000,1.000,418,1,0,1,0,0.380
21418,21,CTR,7.47,0.0000,0.0000,1.000,418,1,0,1,1,0.320
22418,22,CTR,7.63,0.0000,0.0000,1.000,418,1,0,1,0,0.320
23418,23,CTR,7.74,0.0000,0.0000,1.000,418,1,0,1,0,0.320
24418,24,CTR,7.82,0.0000,0.0000,1.000,418,1,0,1,0,0.320
25418,25,CTR,7.87,0.0000,0.0000,1.000,418,1,0,1,0,0.320
26418,26,CTR,7.91,0.0000,0.0000,1.000,418,1,0,1,0,0.320
27418,27,CTR,7.94,0.0000,0.0000,1.000,418,1,0,1,0,0.320
28418,28,CTR,7.96,0.0000,0.0000,1.000,418,1,0,1,0,0.320
29418,29,CTR,7.97,0.0000,0.0000,1.000,418,1,0,1,0,0.320
30418,30,CTR,7.98,0.0000,0.0000,1.000,418,1,0,1,0,0.320
31418,31,CTR,7.99,0.0000,0.0000,1.000,418,1,0,1,0,0.320
32418,32,CTR,7.99,0.0000,0.0000,1.000,418,1,0,1,0,0.320
33418,33,CTR,7.99,0.0000,0.0000,1.000,418,1,0,1,0,0.320
34418,34,CTR,7.99,0.0000,0.0000,1.000,418,1,0,1,0,0.320
35418,35,CTR,8.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
36418,36,CTR,8.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
37418,37,CTR,7.70,0.0000,0.0000,1.000,418,1,0,1,0,0.320
38418,38,CTR,6.29,0.0000,0.0000,1.000,418,1,0,1,0,0.320
39418,39,CTR,4.40,0.0000,0.0000,1.000,418,1,0,1,0,0.320
40418,40,CTR,3.98,0.0000,0.0000,1.000,418,1,0,1,0,0.320
41418,41,CTR,4.89,0.0000,0.0000,1.000,418,1,0,1,0,0.320
42418,42,CTR,5.82,0.0000,0.0000,1.000,418,1,0,1,0,0.320
43418,43,CTR,6.17,0.0000,0.0000,1.000,418,1,0,1,0,0.320
44418,44,CTR,6.12,0.0000,0.0000,1.000,418,1,0,1,0,0.320
45418,45,CTR,5.79,0.0000,0.0000,1.000,418,1,0,1,0,0.320
46418,46,CTR,5.25,0.0000,0.0000,1.000,418,1,0,1,0,0.320
47418,47,CTR,4.87,0.0000,0.0000,1.000,418,1,0,1,0,0.320
48418,48,CTR,4.31,0.0000,0.0000,1.000,418,1,0,1,0,0.320
49418,49,CTR,4.52,0.0000,0.0000,1.000,418,1,0,1,0,0.320
50418,50,CTR,5.56,0.0000,0.0000,1.000,418,1,0,1,0,0.320
51418,51,CTR,5.99,0.0000,0.0000,1.000,418,1,0,1,0,0.320
52418,52,CTR,6.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
53418,53,CTR,6.60,0.0000,0.0000,1.000,418,1,0,1,0,0.320
54418,54,CTR,5.52,0.0000,0.0000,1.000,418,1,0,1,0,0.320
55418,55,CTR,5.36,0.0000,0.0000,1.000,418,1,0,1,0,0.320
56418,56,CTR,5.85,0.0000,0.0000,1.000,418,1,0,1,0,0.320
57418,57,CTR,6.80,0.0000,0.0000,1.000,418,1,0,1,0,0.320
58418,58,CTR,7.76,0.0000,0.0000,1.000,418,1,0,1,0,0.320
59418,59,CTR,8.43,0.0000,0.0000,1.000,418,1,0,1,0,0.320
60418,60,CTR,8.90,0.0000,0.0000,1.000,418,1,0,1,0,0.320
61418,61,CTR,9.23,0.0000,0.0000,1.000,418,1,0,1,0,0.320
62418,62,CTR,9.46,0.0000,0.0000,1.000,418,1,0,1,0,0.320
63418,63,CTR,9.62,0.0000,0.0000,1.000,418,1,0,1,0,0.320
64418,64,CTR,9.74,0.0000,0.0000,1.000,418,1,0,1,0,0.320
65418,65,CTR,9.82,0.0000,0.0000,1.000,418,1,0,1,0,0.320
66418,66,CTR,9.87,0.0000,0.0000,1.000,418,1,0,1,0,0.320
67418,67,CTR,9.91,0.0000,0.0000,1.000,418,1,0,1,0,0.320
68418,68,CTR,9.94,0.0000,0.0000,1.000,418,1,0,1,0,0.320
69418,69,CTR,9.96,0.0000,0.0000,1.000,418,1,0,1,0,0.320
70418,70,CTR,9.97,0.0000,0.0000,1.000,418,1,0,1,0,0.320
71418,71,CTR,10.28,0.0000,0.0000,1.000,418,1,0,1,0,0.320
72418,72,CTR,10.19,0.0000,0.0000,1.000,418,1,0,1,0,0.320
73418,73,CTR,10.14,0.0000,0.0000,1.000,418,1,0,1,0,0.320
74418,74,CTR,10.10,0.0000,0.0000,1.000,418,1,0,1,0,0.320
75418,75,CTR,10.07,0.0000,0.0000,1.000,418,1,0,1,0,0.320
76418,76,CTR,10.05,0.0000,0.0000,1.000,418,1,0,1,0,0.320
77418,77,CTR,10.03,0.0000,0.0000,1.000,418,1,0,1,0,0.320
78418,78,CTR,10.32,0.0000,0.0000,1.000,418,1,0,1,0,0.320
79418,79,CTR,10.23,0.0000,0.0000,1.000,418,1,0,1,0,0.320
80418,80,CTR,10.16,0.0000,0.0000,1.000,418,1,0,1,0,0.320
81418,81,CTR,10.11,0.0000,0.0000,1.000,418,1,0,1,0,0.320
82418,82,CTR,10.08,0.0000,0.0000,1.000,418,1,0,1,0,0.320
83418,83,CTR,10.05,0.0000,0.0000,1.000,418,1,0,1,0,0.320
84418,84,CTR,10.04,0.0000,0.0000,1.000,418,1,0,1,0,0.320
85418,85,CTR,10.03,0.0000,0.0000,1.000,418,1,0,1,0,0.320
86418,86,CTR,10.02,0.0000,0.0000,1.000,418,1,0,1,0,0.320
87418,87,CTR,10.01,0.0000,0.0000,1.000,418,1,0,1,0,0.320
88418,88,CTR,10.01,0.0000,0.0000,1.000,418,1,0,1,0,0.320
89418,89,CTR,10.01,0.0000,0.0000,1.000,418,1,0,1,0,0.320
90418,90,CTR,9.40,0.0000,0.0000,1.000,418,1,0,1,0,0.320
91418,91,CTR,8.08,0.0000,0.0000,1.000,418,1,0,1,0,0.320
92418,92,CTR,6.86,0.0000,0.0000,1.000,418,1,0,1,0,0.320
93418,93,CTR,3.90,0.0000,0.0000,1.000,418,1,0,1,0,0.320
94418,94,CTR,0.63,0.0000,0.0000,1.000,418,1,0,1,0,0.320
95418,95,CTR,-1.66,0.0000,0.0000,1.000,418,1,0,1,0,0.320
96418,96,CTR,-0.86,0.0000,0.0000,1.000,418,1,0,1,0,0.320
97418,97,CTR,-0.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
98418,98,CTR,-0.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
99418,99,CTR,-0.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
100418,100,CTR,-0.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
101418,101,CTR,-0.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
102418,102,CTR,-0.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
103418,103,CTR,-0.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
104418,104,CTR,-0.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
105418,105,CTR,-0.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
106418,106,CTR,-0.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
107418,107,CTR,-0.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
108418,108,CTR,-0.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
109418,109,CTR,-0.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
110418,110,CTR,-0.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
111418,111,CTR,0.30,0.0000,0.0000,1.000,418,1,0,1,0,0.320
112418,112,CTR,1.71,0.0000,0.0000,1.000,418,1,0,1,0,0.320
113418,113,CTR,2.10,0.0000,0.0000,1.000,418,1,0,1,0,0.320
114418,114,CTR,2.07,0.0000,0.0000,1.000,418,1,0,1,0,0.320
115418,115,CTR,2.35,0.0000,0.0000,1.000,418,1,0,1,0,0.320
116418,116,CTR,2.84,0.0000,0.0000,1.000,418,1,0,1,0,0.320
117418,117,CTR,3.19,0.0000,0.0000,1.000,418,1,0,1,0,0.320
118418,118,CTR,3.43,0.0000,0.0000,1.000,418,1,0,1,0,0.320
119418,119,CTR,3.90,0.0000,0.0000,1.000,418,1,0,1,0,0.320
120418,120,CTR,4.23,0.0000,0.0000,1.000,418,1,0,1,0,0.320
121418,121,CTR,4.76,0.0000,0.0000,1.000,418,1,0,1,0,0.320
122418,122,CTR,4.83,0.0000,0.0000,1.000,418,1,0,1,0,0.320
123418,123,CTR,4.88,0.0000,0.0000,1.000,418,1,0,1,0,0.320
124418,124,CTR,4.62,0.0000,0.0000,1.000,418,1,0,1,0,0.320
125418,125,CTR,4.43,0.0000,0.0000,1.000,418,1,0,1,0,0.320
126418,126,CTR,4.90,0.0000,0.0000,1.000,418,1,0,1,0,0.320
127418,127,CTR,4.93,0.0000,0.0000,1.000,418,1,0,1,0,0.320
128418,128,CTR,4.35,0.0000,0.0000,1.000,418,1,0,1,0,0.320
129418,129,CTR,3.95,0.0000,0.0000,1.000,418,1,0,1,0,0.320
130418,130,CTR,4.56,0.0000,0.0000,1.000,418,1,0,1,0,0.320
131418,131,CTR,4.09,0.0000,0.0000,1.000,418,1,0,1,0,0.320
132418,132,CTR,3.47,0.0000,0.0000,1.000,418,1,0,1,0,0.320
133418,133,CTR,2.43,0.0000,0.0000,1.000,418,1,0,1,0,0.320
134418,134,CTR,1.70,0.0000,0.0000,1.000,418,1,0,1,0,0.320
135418,135,CTR,1.19,0.0000,0.0000,1.000,418,1,0,1,0,0.320
136418,136,CTR,1.13,0.0000,0.0000,1.000,418,1,0,1,0,0.320
137418,137,CTR,1.09,0.0000,0.0000,1.000,418,1,0,1,0,0.320
138418,138,CTR,1.06,0.0000,0.0000,1.000,418,1,0,1,0,0.320
139418,139,CTR,0.75,0.0000,0.0000,1.000,418,1,0,1,0,0.320
140418,140,CTR,1.12,0.0000,0.0000,1.000,418,1,0,1,0,0.320
141418,141,CTR,1.69,0.0000,0.0000,1.000,418,1,0,1,0,0.320
142418,142,CTR,2.08,0.0000,0.0000,1.000,418,1,0,1,0,0.320
143418,143,CTR,1.76,0.0000,0.0000,1.000,418,1,0,1,0,0.320
144418,144,CTR,1.53,0.0000,0.0000,1.000,418,1,0,1,0,0.320
145418,145,CTR,1.37,0.0000,0.0000,1.000,418,1,0,1,0,0.320
146418,146,CTR,0.36,0.0000,0.0000,1.000,418,1,0,1,0,0.320
147418,147,CTR,-0.65,0.0000,0.0000,1.000,418,1,0,1,0,0.320
148418,148,CTR,-1.95,0.0000,0.0000,1.000,418,1,0,1,0,0.320
149418,149,CTR,-2.57,0.0000,0.0000,1.000,418,1,0,1,0,0.320
150418,150,CTR,-3.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
151418,151,CTR,-3.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
152418,152,CTR,-3.30,0.0000,0.0000,1.000,418,1,0,1,0,0.320
153418,153,CTR,-3.81,0.0000,0.0000,1.000,418,1,0,1,0,0.320
154418,154,CTR,-3.87,0.0000,0.0000,1.000,418,1,0,1,0,0.320
155418,155,CTR,-5.11,0.0000,0.0000,1.000,418,1,0,1,0,0.320
156418,156,CTR,-4.77,0.0000,0.0000,1.000,418,1,0,1,0,0.320
157418,157,CTR,-3.64,0.0000,0.0000,1.000,418,1,0,1,0,0.320
158418,158,CTR,-2.85,0.0000,0.0000,1.000,418,1,0,1,0,0.320
159418,159,CTR,-1.09,0.0000,0.0000,1.000,418,1,0,1,0,0.320
160418,160,CTR,1.03,0.0000,0.0000,1.000,418,1,0,1,0,0.320
161418,161,CTR,2.52,0.0000,0.0000,1.000,418,1,0,1,0,0.320
162418,162,CTR,3.27,0.0000,0.0000,1.000,418,1,0,1,0,0.320
163418,163,CTR,3.79,0.0000,0.0000,1.000,418,1,0,1,0,0.320
164418,164,CTR,4.15,0.0000,0.0000,1.000,418,1,0,1,0,0.320
