timestamp_ms,seq,mode,snr,per_radio,per_auth,battery,latency_ms,ack_received,retries,auth_success,mode_switch
2518,1,GCM,10.00,0.0000,0.0000,1.000,1518,0,1,0,0,0.380
4037,2,GCM,10.00,0.0000,0.0000,1.000,1519,0,2,0,0,0.380
5555,3,GCM,10.00,0.0000,0.0000,1.000,1518,0,3,0,0,0.380
7073,4,GCM,10.00,0.0000,0.0000,1.000,1518,0,4,0,0,0.380
8591,5,GCM,10.00,0.0000,0.0000,1.000,1518,0,5,0,0,0.380
10109,6,GCM,10.00,0.0000,0.0000,1.000,1518,0,6,0,0,0.380
10527,7,GCM,10.00,0.0000,0.0000,1.000,418,1,6,1,0,0.380
11527,8,GCM,10.00,0.0000,0.0000,1.000,418,1,6,1,0,0.380
12527,9,GCM,10.00,0.0000,0.0000,1.000,418,1,6,1,0,0.380
13527,10,GCM,10.00,0.0000,0.0000,1.000,418,1,6,1,0,0.380
15627,11,GCM,10.00,0.0000,0.0000,1.000,1518,0,7,0,0,0.380
16045,12,GCM,10.00,0.0504,0.0000,1.000,418,1,7,1,0,0.380
17045,13,GCM,10.00,0.0775,0.0000,1.000,418,1,7,1,0,0.423
18045,14,GCM,10.00,0.0917,0.0000,1.000,418,1,7,1,0,0.447
19045,15,GCM,10.00,0.0970,0.0000,1.000,418,1,7,1,0,0.459
20045,16,GCM,10.00,0.0984,0.0000,1.000,418,1,7,1,0,0.464
21045,17,GCM,10.00,0.0958,0.0000,1.000,418,1,7,1,0,0.465
22045,18,GCM,10.00,0.0917,0.0000,1.000,418,1,7,1,0,0.463
23045,19,GCM,10.00,0.0876,0.0000,1.000,418,1,7,1,0,0.459
24045,20,GCM,10.00,0.0824,0.0000,1.000,418,1,7,1,0,0.456
25045,21,GCM,10.00,0.0776,0.0000,1.000,418,1,7,1,0,0.451
26045,22,GCM,10.00,0.0731,0.0000,1.000,418,1,7,1,0,0.447
27045,23,GCM,10.00,0.0687,0.0000,1.000,418,1,7,1,0,0.443
28045,24,GCM,10.00,0.0645,0.0000,1.000,418,1,7,1,0,0.439
29045,25,GCM,10.00,0.0604,0.0000,1.000,418,1,7,1,0,0.435
30045,26,GCM,10.00,0.0575,0.0000,1.000,418,1,7,1,0,0.432
31045,27,GCM,10.00,0.0543,0.0000,1.000,418,1,7,1,0,0.429
32045,28,GCM,10.00,0.0521,0.0000,1.000,418,1,7,1,0,0.426
33045,29,GCM,10.00,0.0494,0.0000,1.000,418,1,7,1,0,0.424
34045,30,GCM,10.00,0.0474,0.0000,1.000,418,1,7,1,0,0.422
35045,31,GCM,10.00,0.0449,0.0000,1.000,418,1,7,1,0,0.420
36045,32,GCM,10.00,0.0432,0.0000,1.000,418,1,7,1,0,0.418
37045,33,GCM,10.00,0.0408,0.0000,1.000,418,1,7,1,0,0.417
38045,34,GCM,10.00,0.0391,0.0000,1.000,418,1,7,1,0,0.415
39045,35,GCM,10.00,0.0379,0.0000,1.000,418,1,7,1,0,0.413
40045,36,GCM,10.00,0.0371,0.0000,1.000,418,1,7,1,0,0.412
41045,37,GCM,10.00,0.0353,0.0000,1.000,418,1,7,1,0,0.411
42045,38,GCM,10.00,0.0341,0.0000,1.000,418,1,7,1,0,0.410
43045,39,GCM,10.00,0.0332,0.0000,1.000,418,1,7,1,0,0.409
44045,40,GCM,10.00,0.0326,0.0000,1.000,418,1,7,1,0,0.408
45045,41,GCM,10.00,0.0311,0.0000,1.000,418,1,7,1,0,0.408
46045,42,GCM,10.00,0.0299,0.0000,1.000,418,1,7,1,0,0.406
47045,43,GCM,10.00,0.0292,0.0000,1.000,418,1,7,1,0,0.405
48045,44,GCM,10.00,0.0286,0.0000,1.000,418,1,7,1,0,0.405
