Sequence,Timestamp_ms,Distance_m,SNR_dB,SNR_EMA_dB,PacketLost,PerRadio_EMA,AuthFail,PerAuth_EMA,Battery,SelectedMode,ModeSwitched,Cost_CTR,Cost_CBC,Cost_GCM,Latency_ms,Latitude,Longitude
1,1001,21.62,11,3.3,0,0,0,0,0.9997,GCM,0,0.3256,0.4001,0.2377,289.82,22.719699,75.857887
2,2002,22.94,12,5.91,0,0,0,0,1,GCM,0,0.3256,0.4,0.2376,286.76,22.719717,75.857948
3,3003,15.89,12,7.737,0,0,0,0,0.999,GCM,0,0.3258,0.4003,0.2378,288.62,22.719618,75.857855
4,4004,24.62,9,8.116,0,0,0,0,0.9945,GCM,0,0.3267,0.4014,0.2389,289.49,22.719715,75.857939
5,5004,12.83,12,9.281,0,0,0,0,0.994,GCM,0,0.3268,0.4015,0.239,288.02,22.719639,75.857835
6,6005,18.97,12,10.097,0,0,0,0,0.9936,GCM,0,0.3269,0.4016,0.2391,287.92,22.719688,75.857866
7,7006,26.55,6,8.868,0,0,0,0,0.9867,GCM,0,0.3283,0.4033,0.2408,287.38,22.719764,75.857953
8,8007,25.38,9,8.907,0,0,0,0,0.9943,GCM,0,0.3267,0.4014,0.239,289.89,22.719743,75.857953
9,9007,29.8,7,8.335,0,0,0,0,0.9954,GCM,0,0.3265,0.4012,0.2387,289.66,22.719761,75.858016
10,10008,22.47,6,7.635,0,0,0,0,0.9892,GCM,0,0.3278,0.4027,0.2402,288.19,22.719713,75.857922
11,11009,18.94,12,8.944,0,0,0,0,0.9911,GCM,0,0.3274,0.4022,0.2397,287.15,22.719666,75.857915
12,12011,17.09,12,9.861,0,0,0,0,0.9921,GCM,0,0.3272,0.402,0.2395,286.29,22.719663,75.85787
13,13012,12.56,12,10.503,0,0,0,0,1,GCM,0,0.3256,0.4,0.2376,287.94,22.71962,75.857807
14,14015,22.85,12,10.952,0,0,0,0,0.9827,GCM,0,0.3291,0.4043,0.2418,289.49,22.719693,75.857909
15,15017,15.13,12,11.266,0,0,0,0,0.9833,GCM,0,0.329,0.4042,0.2416,286.47,22.719635,75.857846
16,16020,26.59,11,11.186,0,0,0,0,0.9932,GCM,0,0.327,0.4017,0.2392,289.73,22.719749,75.857962
17,17021,37.99,7,9.93,0,0,0,0,0.9896,GCM,0,0.3277,0.4026,0.2401,285.58,22.719832,75.858063
18,18024,15.88,12,10.551,0,0,0,0,0.9949,GCM,0,0.3266,0.4013,0.2388,287.14,22.719615,75.857857
19,19029,26.87,8,9.786,0,0,0,0,0.9885,GCM,0,0.3279,0.4029,0.2404,288.11,22.719752,75.857977
20,20030,27.01,3,7.75,0,0,0,0,0.9939,GCM,0,0.3268,0.4015,0.2391,286.86,22.719711,75.85795
21,21031,16.97,12,9.025,0,0,0,0,0.992,GCM,0,0.3272,0.402,0.2395,288.7,22.719653,75.857872
22,22031,22.33,10,9.318,0,0,0,0,0.9818,GCM,0,0.3293,0.4046,0.242,287.88,22.719705,75.857906
23,23032,12.77,12,10.122,0,0,0,0,0.9899,GCM,0,0.3276,0.4025,0.24,287.73,22.719602,75.857836
24,24034,22.47,11,10.386,0,0,0,0,0.9853,GCM,0,0.3286,0.4037,0.2412,285.42,22.719696,75.857931
25,25036,22.07,10,10.27,0,0,0,0,0.9891,GCM,0,0.3278,0.4027,0.2402,287.41,22.719703,75.857952
26,26038,32.83,4,8.389,0,0,0,0,0.9865,GCM,0,0.3283,0.4034,0.2409,288.09,22.719788,75.858011
27,27040,22.48,12,9.472,0,0,0,0,0.9806,GCM,0,0.3295,0.4049,0.2423,290.75,22.719711,75.857924
28,28043,22.73,11,9.931,0,0,0,0,0.9864,GCM,0,0.3283,0.4034,0.2409,287.52,22.719698,75.857912
29,29045,22.77,8,9.351,0,0,0,0,0.9898,GCM,0,0.3277,0.4026,0.2401,289.53,22.71973,75.857929
30,30046,22.92,12,10.146,0,0,0,0,0.9819,GCM,0,0.3293,0.4045,0.242,288.53,22.719694,75.857966
31,31047,16.03,12,10.702,0,0,0,0,0.9808,GCM,0,0.3295,0.4048,0.2422,288.41,22.719621,75.857855
32,32049,16.71,12,11.092,0,0,0,0,0.9813,GCM,0,0.3294,0.4047,0.2421,285.84,22.719683,75.857855
33,33050,16.19,10,10.764,0,0,0,0,0.9847,GCM,0,0.3287,0.4038,0.2413,286.67,22.719633,75.857866
34,34050,16.97,11,10.835,0,0,0,0,0.9785,GCM,0,0.33,0.4054,0.2428,288.87,22.719646,75.857873
35,35053,14.29,9,10.284,0,0,0,0,0.9781,GCM,0,0.33,0.4055,0.2429,287.76,22.719627,75.857838
36,36053,20.5,8,9.599,0,0,0,0,0.9733,GCM,0,0.331,0.4067,0.2441,285.87,22.719684,75.857883
37,37055,25.76,12,10.319,0,0,0,0,0.9891,GCM,0,0.3278,0.4027,0.2402,287.35,22.719721,75.857943
38,38058,30.5,2,7.824,0,0,0,0,0.9829,GCM,0,0.3291,0.4043,0.2417,287.47,22.719767,75.858007
39,39060,19.6,3,6.376,0,0,0,0,0.9821,GCM,0,0.3292,0.4045,0.2419,289.44,22.719688,75.857873
40,40060,27.37,2,5.064,0,0,0,0,0.9743,GCM,0,0.3308,0.4064,0.2438,288.06,22.719733,75.857975
41,41060,25.31,8,5.944,0,0,0,0,0.9792,GCM,0,0.3298,0.4052,0.2426,285.33,22.719712,75.85794
42,42062,11.78,12,7.761,0,0,0,0,0.9671,GCM,0,0.3323,0.4082,0.2456,288.13,22.719588,75.857784
43,43063,20.86,4,6.633,0,0,0,0,0.9815,GCM,0,0.3293,0.4046,0.2421,287.84,22.719704,75.857879
44,44064,31.86,5,6.143,0,0,0,0,0.9727,GCM,0,0.3311,0.4068,0.2442,286.21,22.719763,75.858005
